dataset,task,age_group,race,gender,subgroup_key,model_name,model_set,rank,is_winner,is_runner_up,final_R_bad,R_global_bad,R_local_bad,R_age_bad,R_race_bad,R_gender_bad,score_formula,score_direction,n_total,age_n,race_n,gender_n,intersection_n,lambda_age,lambda_race,lambda_gender,lambda_sum,intersection_lambda
harvard_fairvision,amd,middle-aged,asian,female,age_group=middle-aged|race=asian|gender=female,visionfm_slo,all,12,0,0,0.4521081623072652,0.4507197225590398,0.45361733594664067,0.43553409839344764,0.4978991579340247,0.45874467746407355,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1764,46,0.3446666666666667,0.07266666666666667,0.588,1.0053333333333332,0.4791666666666667
harvard_fairvision,amd,middle-aged,asian,female,age_group=middle-aged|race=asian|gender=female,visionfm_oct,all,13,0,0,0.45696032452475055,0.44472632924373534,0.47025814548237577,0.47513841195698686,0.5643555326874559,0.45576867499175466,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1764,46,0.3446666666666667,0.07266666666666667,0.588,1.0053333333333332,0.4791666666666667
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,resnet50_slo_supervised,all,1,1,0,0.3930090381247611,0.38313607935198757,0.40566667757703484,0.420378915756416,0.4131485728994873,0.39203924435877047,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,resnet50_oct_supervised,all,2,0,1,0.3943478120161722,0.37880479167826114,0.41427476116734013,0.43321312418784197,0.4558445518371189,0.3910996141372345,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,ret_clip_slo,all,3,0,0,0.4012267245926835,0.3901165755158039,0.41547050546047776,0.4294259077957254,0.4285608653352973,0.40148702288171007,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,flair_slo,all,4,0,0,0.40276188069999386,0.3894235650805271,0.4198622853403358,0.43665081482286056,0.4540393355780158,0.39978952123293704,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,vit_b_16_oct_supervised,all,5,0,0,0.4108195444776028,0.39944262429329697,0.42540533958568727,0.44114913164813613,0.44937905412543694,0.4080061884835532,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,vit_b_16_slo_supervised,all,6,0,0,0.4128384840034359,0.3993243864332928,0.43016425011900394,0.4542430307919822,0.44413630500898316,0.4075563478682959,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,urfound_slo,all,7,0,0,0.41844272310636127,0.40805100269930566,0.43176544157694535,0.4550441889121425,0.44637296947816824,0.409714741069615,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,retfound_oct,all,8,0,0,0.41986180195948886,0.4218422625296211,0.4173227499464988,0.406219778336066,0.4407095878019057,0.4224862952480431,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
